num_seeds,trial,iris_time,gcs_time,path_length,success,num_regions,error_message
1,0,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
1,1,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
1,2,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
1,3,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
1,4,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
3,0,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
3,1,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
3,2,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
3,3,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
3,4,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
5,0,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
5,1,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
5,2,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
5,3,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
5,4,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
7,0,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
7,1,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
7,2,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
7,3,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
7,4,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
10,0,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
10,1,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
10,2,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
10,3,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
10,4,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
